experiment,mrr,map,ndcg_at_k,precision_at_k,recall_at_k,f1_score_at_k
fixed_1024_0,0.20188888888888887,0.19405555555555556,0.173071155919405,0.08533333333333334,0.21333333333333335,0.12190476190476192
fixed_1024_128,0.23322222222222222,0.2320925925925926,0.20481578284026056,0.10400000000000001,0.26,0.14857142857142858
fixed_128_0,0.27844444444444444,0.2790185185185185,0.24516963081659016,0.11066666666666668,0.27666666666666667,0.1580952380952381
fixed_128_16,0.27055555555555555,0.2654444444444444,0.21423618013279844,0.09333333333333334,0.23333333333333334,0.13333333333333336
fixed_256_0,0.2882222222222222,0.2889259259259259,0.24340400179581087,0.11466666666666667,0.2866666666666667,0.16380952380952382
fixed_256_32,0.2668888888888889,0.2663611111111111,0.24148867495215265,0.12133333333333333,0.30333333333333334,0.17333333333333337
fixed_512_0,0.24811111111111112,0.24572222222222223,0.205082274861103,0.1,0.25,0.14285714285714288
fixed_512_64,0.2708888888888889,0.2702777777777778,0.21977885973479738,0.10266666666666667,0.25666666666666665,0.1466666666666667
recursive_1024_128,0.25455555555555553,0.2531296296296296,0.21728940767271476,0.10533333333333333,0.2633333333333333,0.15047619047619049
recursive_128_16,0.36133333333333334,0.3577685185185185,0.3453456931615104,0.16666666666666666,0.4166666666666667,0.2380952380952381
recursive_256_32,0.3148888888888889,0.31196296296296294,0.2849148444897375,0.12933333333333336,0.3233333333333333,0.1847619047619048
recursive_512_64,0.24555555555555558,0.24856481481481482,0.23269821668146312,0.11733333333333335,0.29333333333333333,0.16761904761904764
sentence_s1,0.36288888888888887,0.3592222222222222,0.3239948980310534,0.1426666666666667,0.3566666666666667,0.20380952380952383
sentence_s10,0.25633333333333336,0.2545,0.22594408727156895,0.11066666666666668,0.27666666666666667,0.15809523809523812
sentence_s3,0.3257777777777778,0.3237222222222222,0.2767710934979878,0.12400000000000001,0.31,0.17714285714285719
sentence_s5,0.2806666666666667,0.2793703703703703,0.24715689303286334,0.11866666666666667,0.2966666666666667,0.16952380952380955
