experiment,mrr,map,ndcg_at_k,precision_at_k,recall_at_k,f1_score_at_k
fixed_1024_0,0.7278236225723097,0.7027555499986108,0.775344873076018,0.5233808452113028,0.8766944739344181,0.6191053970595933
fixed_1024_128,0.7313411686254897,0.706288377649968,0.7800875918777834,0.5279819954988747,0.8788901660108526,0.6234148410641275
fixed_128_0,0.5791947986996748,0.5575376483009641,0.5841047371767694,0.3994498624656164,0.6615154003953115,0.4702097432418499
fixed_128_16,0.5865466366591647,0.5632206662776805,0.5921143761509484,0.4045511377844461,0.668190150266834,0.47562198326702704
fixed_256_0,0.6489914145202967,0.6253427940318413,0.675501997594814,0.45931482870717677,0.7664952305064496,0.5425386372181716
fixed_256_32,0.6552429774110194,0.6319937623294712,0.6854928023614112,0.4689172293073268,0.7774752334466137,0.5525834080274756
fixed_512_0,0.6786654997082604,0.6551200300075019,0.7182812303594507,0.4885221305326332,0.8180876284229034,0.5779193712866044
fixed_512_64,0.6850671001083605,0.6605314523075213,0.7347237252644135,0.5023755938984746,0.8367033704586936,0.5933070735388751
recursive_1024_128,0.7246770025839793,0.7040513600622378,0.7796013502316916,0.5285821455363842,0.8803968062645634,0.6241148892427946
recursive_128_16,0.5723680920230058,0.5538568669945264,0.5787721039756631,0.3919479869967492,0.6505254018021874,0.46145866904512717
recursive_256_32,0.632370592648162,0.6114504320524575,0.6675197902142418,0.454463615903976,0.7620866268515099,0.5372852157293371
recursive_512_64,0.6789405684754523,0.6565735183795949,0.7295914813649108,0.4973243310827707,0.8316883372376209,0.5880081953465912
sentence_s1,0.3143994331916312,0.31027097052040786,0.2922473941523492,0.1992498124531133,0.33234292506956065,0.2349984014726156
sentence_s10,0.6391014420271734,0.6146390764357756,0.6456335956599829,0.4342585646411603,0.7254299625974411,0.5126364109170783
sentence_s3,0.5392973243310828,0.5184271762385041,0.5119410514481235,0.342785696424106,0.569659991086338,0.40394413161857984
sentence_s5,0.5844211052763191,0.5617901003028535,0.5757444210817129,0.38854713678419606,0.6453554641690121,0.4574558699237722
