experiment,mrr,map,ndcg_at_k,precision_at_k,recall_at_k,f1_score_at_k
fixed_1024_0,0.6177419354838709,0.6028897849462366,0.543406597043962,0.3612903225806452,0.5690755481078063,0.40840661025670516
fixed_1024_128,0.6486559139784946,0.6308019713261649,0.6145435369088972,0.42903225806451617,0.642616254713029,0.4786744828016175
fixed_128_0,0.4803763440860215,0.45936379928315413,0.4569816811851533,0.3387096774193548,0.496085276730438,0.3708094404014708
fixed_128_16,0.5018817204301075,0.48409498207885304,0.4647019732604961,0.33548387096774196,0.4952474049248243,0.3696658575453642
fixed_256_0,0.6045698924731183,0.5770609318996416,0.5704291937188006,0.4064516129032258,0.597372340920728,0.4466583358661158
fixed_256_32,0.6051075268817204,0.5875224014336917,0.5638474070023494,0.3967741935483871,0.5891664339244984,0.4385074813442935
fixed_512_0,0.5543010752688172,0.5298835125448028,0.527905044714183,0.37741935483870964,0.5598019364148397,0.41889503338744327
fixed_512_64,0.6276881720430108,0.6170026881720431,0.6093101917778619,0.41935483870967744,0.6422392124005027,0.47087683294988797
recursive_1024_128,0.6301075268817203,0.6201612903225807,0.603700660063317,0.42903225806451617,0.6412017641856351,0.47548788445372886
recursive_128_16,0.45268817204301076,0.44229390681003583,0.44355989268770374,0.31612903225806455,0.5071835870222967,0.36191547225702825
recursive_256_32,0.595967741935484,0.5655913978494623,0.5488763504274943,0.3838709677419355,0.5814737234092072,0.42869929722396516
recursive_512_64,0.5422043010752688,0.535752688172043,0.5646705177374498,0.4096774193548387,0.6039391611972257,0.4512933961463373
sentence_s1,0.2403225806451613,0.2474910394265233,0.25835292465396853,0.17096774193548386,0.3164129777033003,0.2063173069814436
sentence_s10,0.5685483870967742,0.5407930107526882,0.5239490355658935,0.35161290322580646,0.5452282036959456,0.39525878138306986
sentence_s3,0.47096774193548385,0.45940860215053764,0.4405217867113053,0.31612903225806455,0.4753153656379463,0.3487188201846646
sentence_s5,0.5575268817204301,0.5431227598566307,0.4627008816383048,0.31290322580645163,0.46815388912163103,0.3455634182389401
