experiment,mrr,map,ndcg_at_k,precision_at_k,recall_at_k,f1_score_at_k
fixed_1024_0,0.6814553990610328,0.6541422143974961,0.631618685203205,0.4309859154929578,0.675807750543666,0.4999488107400286
fixed_1024_128,0.6600938967136151,0.6377738654147105,0.6289729690121577,0.4281690140845071,0.6823454616588419,0.501127720778715
fixed_128_0,0.48843896713615026,0.4744375978090767,0.43425604111025284,0.3,0.4644777757453814,0.3470069669582926
fixed_128_16,0.5167840375586854,0.4987382629107981,0.45931352212562726,0.31338028169014087,0.49477496290876566,0.3656562656251969
fixed_256_0,0.5747065727699531,0.5493984741784038,0.5272294553152306,0.36408450704225354,0.5751605593154889,0.42456491658024387
fixed_256_32,0.5707159624413146,0.5460387323943662,0.5064743138190162,0.34788732394366195,0.5454583561977928,0.40528390129156494
fixed_512_0,0.5998239436619718,0.5803746087636933,0.5627384381863878,0.3880281690140845,0.6157609800215434,0.45341775675764906
fixed_512_64,0.602112676056338,0.5836267605633803,0.5615628682087356,0.38661971830985914,0.6066688006828852,0.4497356378777257
recursive_1024_128,0.6629694835680751,0.6460436228482003,0.6403704331464881,0.43169014084507046,0.6818802969331138,0.5023195942417152
recursive_128_16,0.49137323943661976,0.4742957746478873,0.43555110558868937,0.29436619718309864,0.47016886673576813,0.3457367456487175
recursive_256_32,0.5517605633802817,0.5389720266040688,0.5133756834866908,0.3549295774647887,0.5580630246123204,0.41472959057880354
recursive_512_64,0.5988262910798122,0.5869180359937402,0.5671598509536564,0.3894366197183099,0.6194035424669228,0.45568334822684453
sentence_s1,0.2642605633802817,0.2606073943661972,0.2407003207551019,0.16126760563380282,0.2667480895473853,0.19111385082284005
sentence_s10,0.5660798122065727,0.5502053990610328,0.516106314420799,0.352112676056338,0.5572623874560495,0.41071801713889533
sentence_s3,0.47118544600938966,0.44918329420970265,0.40577979414039356,0.2690140845070423,0.4325109749405524,0.31657020198341657
sentence_s5,0.48802816901408447,0.4735133020344288,0.43123474132891587,0.28943661971830986,0.46638645001321055,0.3405052193732807
