experiment,mrr,map,ndcg_at_k,precision_at_k,recall_at_k,f1_score_at_k
fixed_1024_0,0.33311111111111114,0.3264537037037037,0.2838327493177235,0.12933333333333336,0.3233333333333333,0.1847619047619048
fixed_1024_128,0.3531111111111111,0.3474074074074074,0.30911189831212155,0.14133333333333334,0.35333333333333333,0.20190476190476192
fixed_128_0,0.3004444444444444,0.29512037037037037,0.2594205876040868,0.11733333333333335,0.29333333333333333,0.16761904761904764
fixed_128_16,0.2897777777777778,0.28144444444444444,0.24827645594315007,0.11333333333333333,0.2833333333333333,0.1619047619047619
fixed_256_0,0.3531111111111111,0.3520555555555555,0.31864316697613987,0.14933333333333335,0.37333333333333335,0.21333333333333335
fixed_256_32,0.33055555555555555,0.32993518518518516,0.3138022549808639,0.152,0.38,0.21714285714285717
fixed_512_0,0.34644444444444444,0.3389351851851852,0.2967710907382612,0.13866666666666666,0.3466666666666667,0.19809523809523813
fixed_512_64,0.34800000000000003,0.3446388888888889,0.3098599847256059,0.152,0.38,0.21714285714285717
recursive_1024_128,0.356,0.35725,0.31187437045901445,0.14666666666666667,0.36666666666666664,0.20952380952380953
recursive_128_16,0.4265555555555556,0.4247592592592593,0.4063507821186278,0.18533333333333335,0.4633333333333333,0.26476190476190475
recursive_256_32,0.4021111111111111,0.4001851851851852,0.38989584700403634,0.18266666666666667,0.45666666666666667,0.260952380952381
recursive_512_64,0.36677777777777776,0.3587037037037037,0.3240991290313724,0.15333333333333332,0.38333333333333336,0.21904761904761907
sentence_s1,0.37666666666666665,0.36996296296296294,0.34669724176760824,0.15600000000000003,0.39,0.22285714285714286
sentence_s10,0.33344444444444443,0.3325833333333333,0.30499480935814893,0.148,0.37,0.21142857142857144
sentence_s3,0.36233333333333334,0.36080555555555555,0.31529832377981887,0.14533333333333334,0.36333333333333334,0.20761904761904765
sentence_s5,0.3482222222222222,0.3426666666666667,0.31649203827950095,0.148,0.37,0.21142857142857147
