experiment,mrr,map,ndcg_at_k,precision_at_k,recall_at_k,f1_score_at_k
fixed_1024_0,0.7497165958156206,0.728124044900114,0.8270094766860486,0.5615903975993999,0.9415574573422177,0.6644432807031524
fixed_1024_128,0.7580436775860632,0.7357429635186574,0.8379589447132257,0.5704426106526631,0.9538636876904586,0.6744794584997301
fixed_128_0,0.6065474702008836,0.5848069656302964,0.6304934298028452,0.43210802700675166,0.7192301983742196,0.5098462029625447
fixed_128_16,0.6163249145619738,0.5918042010502625,0.6416404145819916,0.4399599899974994,0.730414633450905,0.518318972115244
fixed_256_0,0.6778694673668417,0.6526405907032313,0.7238961576773958,0.49677419354838714,0.823710041684328,0.5855301454156564
fixed_256_32,0.6808410435942319,0.6554030868828319,0.7317594925141945,0.5030757689422356,0.8348268534881322,0.5927282301060515
fixed_512_0,0.7202467283487539,0.6948292628712733,0.7938317577433387,0.5440860215053764,0.9084556859141367,0.6425269952835764
fixed_512_64,0.7233891806284904,0.7002406851712928,0.8031313178755455,0.5503875968992248,0.9222682778400071,0.6512355305514023
recursive_1024_128,0.7503125781445361,0.7311723764274403,0.8361301317927738,0.5691422855713929,0.9534855520746146,0.6736150185037387
recursive_128_16,0.601396182378928,0.5832871412297519,0.6205777320633924,0.4221555388847212,0.7002610888410701,0.49695790227476405
recursive_256_32,0.6650245894807035,0.643675849517935,0.7113626397079462,0.48537134283570893,0.811168656031458,0.5736280109992827
recursive_512_64,0.7092106359923314,0.6879226751132227,0.783059707091535,0.5363340835208803,0.8952528113775077,0.6340014762763424
sentence_s1,0.3536425773109944,0.35075643910977744,0.333664396124144,0.2297074268567142,0.3809197332654376,0.27022940832327674
sentence_s10,0.6498041176960907,0.6260065016254064,0.6667737105146808,0.4514128532133033,0.7508749256421001,0.5330060692186652
sentence_s3,0.5479286488288738,0.527772220832986,0.5326972293117441,0.35863965991497876,0.5948964169360074,0.4220579477795426
sentence_s5,0.5889722430607652,0.5667444638937512,0.5866457980672095,0.3973493373343336,0.6575090005748288,0.4675819767756277
