experiment,mrr,map,ndcg_at_k,precision_at_k,recall_at_k,f1_score_at_k
fixed_1024_0,0.6456989247311827,0.6350806451612904,0.6623586436223552,0.4612903225806452,0.7228331704138156,0.517926583747267
fixed_1024_128,0.7352150537634409,0.7029121863799284,0.7002744527311627,0.47419354838709676,0.7043423870036774,0.5213102968083992
fixed_128_0,0.5212365591397848,0.4911066308243727,0.46354059345766147,0.33225806451612905,0.4837889261276358,0.3635268168475
fixed_128_16,0.5610215053763441,0.5334453405017922,0.5036374404987266,0.3612903225806452,0.5237990504119536,0.393310474050512
fixed_256_0,0.6268817204301075,0.5827060931899642,0.6119879451420518,0.432258064516129,0.6441395522040684,0.47907832205744916
fixed_256_32,0.6053763440860215,0.6142025089605735,0.607904088245765,0.4483870967741936,0.6512701903830936,0.49320130902199216
fixed_512_0,0.6239247311827957,0.6151209677419355,0.6602846660376488,0.4645161290322581,0.7207594376949216,0.5215736535233689
fixed_512_64,0.660752688172043,0.6560035842293908,0.6994348192648339,0.49354838709677423,0.7647110505981474,0.5539539971940352
recursive_1024_128,0.6793010752688172,0.6596326164874553,0.6823740249677728,0.46774193548387094,0.6977755667271797,0.5139028297235129
recursive_128_16,0.485483870967742,0.4792114695340502,0.4528929486520375,0.3096774193548387,0.4870793185309314,0.35284698171320567
recursive_256_32,0.6260752688172042,0.6050403225806452,0.5727186690633634,0.3967741935483871,0.5883599823115951,0.4390912166054481
recursive_512_64,0.6696236559139784,0.6501792114695341,0.6642678222512254,0.4645161290322581,0.705283247218731,0.5184029890623818
sentence_s1,0.317741935483871,0.31718189964157706,0.3034091833565011,0.19677419354838707,0.33822499185402405,0.22914676247218943
sentence_s10,0.5865591397849462,0.5834901433691756,0.577939227453842,0.4096774193548387,0.6298800214122795,0.45845245572475174
sentence_s3,0.48844086021505373,0.4763664874551971,0.4502502916805448,0.3129032258064516,0.46132465205045853,0.34306344088127766
sentence_s5,0.5537634408602151,0.5273969534050179,0.5157236838917723,0.36129032258064514,0.5293871898710608,0.3946411773973444
