experiment,mrr,map,ndcg_at_k,precision_at_k,recall_at_k,f1_score_at_k
fixed_1024_0,0.6927816901408451,0.6714446400625977,0.6643910174405939,0.4556338028169014,0.7097434353596326,0.5275453241640068
fixed_1024_128,0.7026995305164319,0.672760172143975,0.6787855324253059,0.4563380281690141,0.7311565097656647,0.5347673177416342
fixed_128_0,0.506924882629108,0.48936326291079807,0.47217934463847616,0.3295774647887324,0.5152146464646465,0.38216952832217954
fixed_128_16,0.5218309859154929,0.504054186228482,0.47917365084068947,0.3295774647887324,0.5281030882263277,0.3870530251070848
fixed_256_0,0.5868544600938966,0.5645442097026604,0.5598397365549823,0.37816901408450704,0.6111653506899987,0.4457314554404447
fixed_256_32,0.5902582159624413,0.570945813771518,0.556356201644462,0.38169014084507047,0.6084308883604658,0.4470717495934977
fixed_512_0,0.6524061032863849,0.6273718701095462,0.6390000315223847,0.44084507042253523,0.6973243501412516,0.5140518898389652
fixed_512_64,0.6502347417840375,0.6262568466353677,0.619440305383182,0.4267605633802817,0.6678220840192671,0.49624047590079073
recursive_1024_128,0.701349765258216,0.6826144366197183,0.6778931099957702,0.4570422535211268,0.7217155203950979,0.5324853176603384
recursive_128_16,0.5218309859154929,0.5022300469483568,0.4811892984405622,0.3295774647887324,0.5220945623234355,0.38430644369438904
recursive_256_32,0.6034037558685447,0.5763204225352113,0.562576564536528,0.3859154929577465,0.6167082037680629,0.4525203014328946
recursive_512_64,0.6493544600938966,0.6307365023474178,0.6375777123720894,0.43521126760563383,0.693628691339959,0.5092853897690268
sentence_s1,0.27875586854460094,0.2719776995305164,0.25120137144360327,0.17253521126760563,0.28272209011645627,0.2030811646698142
sentence_s10,0.5830399061032864,0.5553843896713615,0.5457368154075684,0.36901408450704226,0.5954528941324716,0.43290568172506866
sentence_s3,0.48526995305164317,0.46755183881064166,0.4305631305764926,0.29225352112676056,0.4690707375566531,0.3423055484053827
sentence_s5,0.5390258215962441,0.5185103677621282,0.4744763899106434,0.3154929577464789,0.5096155214112961,0.369502486719761
