experiment,mrr,map,ndcg_at_k,precision_at_k,recall_at_k,f1_score_at_k
fixed_1024_0,0.15233333333333335,0.15227777777777776,0.13232306950592063,0.06266666666666666,0.15666666666666668,0.08952380952380953
fixed_1024_128,0.194,0.18988888888888888,0.15392126539560774,0.07200000000000001,0.18,0.10285714285714287
fixed_128_0,0.1671111111111111,0.16927777777777778,0.1319670108322638,0.061333333333333344,0.15333333333333332,0.08761904761904762
fixed_128_16,0.146,0.1492037037037037,0.11859991913008691,0.05733333333333333,0.14333333333333334,0.08190476190476191
fixed_256_0,0.197,0.19625925925925927,0.16049836540946005,0.076,0.19,0.10857142857142858
fixed_256_32,0.1701111111111111,0.1701111111111111,0.1359459981098803,0.061333333333333344,0.15333333333333332,0.08761904761904762
fixed_512_0,0.19255555555555556,0.18766666666666665,0.14096593662304463,0.06,0.15,0.08571428571428573
fixed_512_64,0.2001111111111111,0.19899999999999998,0.15108821106977244,0.06533333333333334,0.16333333333333333,0.09333333333333335
recursive_1024_128,0.21033333333333334,0.21031481481481482,0.1667436701218366,0.07866666666666668,0.19666666666666666,0.11238095238095239
recursive_128_16,0.24277777777777776,0.2431296296296296,0.21527712860861967,0.10133333333333334,0.25333333333333335,0.14476190476190476
recursive_256_32,0.20577777777777778,0.2077037037037037,0.18118115130203769,0.08666666666666667,0.21666666666666667,0.12380952380952381
recursive_512_64,0.19855555555555554,0.19697222222222222,0.16065102188585395,0.07333333333333333,0.18333333333333332,0.10476190476190478
sentence_s1,0.24777777777777776,0.24705555555555553,0.2113179805488032,0.096,0.24,0.13714285714285715
sentence_s10,0.18955555555555556,0.18916666666666668,0.15122841389598884,0.06933333333333333,0.17333333333333334,0.09904761904761906
sentence_s3,0.20644444444444443,0.20644444444444443,0.16266551440700286,0.076,0.19,0.10857142857142858
sentence_s5,0.18255555555555555,0.18416666666666667,0.14503385214475475,0.06933333333333333,0.17333333333333334,0.09904761904761906
