experiment,mrr,map,ndcg_at_k,precision_at_k,recall_at_k,f1_score_at_k
fixed_1024_0,0.5395161290322581,0.5099462365591398,0.49041875568073473,0.3419354838709677,0.5153894940185263,0.3743743474530951
fixed_1024_128,0.6295698924731182,0.6100358422939068,0.5295072954052477,0.3645161290322581,0.5262946283107574,0.39574750834238503
fixed_128_0,0.3424731182795699,0.3392249103942652,0.3192401518695172,0.22903225806451616,0.3600759903179258,0.25873616421529133
fixed_128_16,0.3806451612903226,0.3644041218637993,0.3152328875266354,0.22580645161290322,0.34228867011125075,0.25198605948131564
fixed_256_0,0.47016129032258064,0.4578629032258064,0.41225386584242585,0.29354838709677417,0.4408945445235768,0.32705848336778126
fixed_256_32,0.47634408602150535,0.45741487455197133,0.4515252139868234,0.3129032258064516,0.4775054694409533,0.35046859897429156
fixed_512_0,0.5443548387096774,0.5281137992831542,0.47200681373843983,0.31935483870967746,0.4681416701577992,0.3493822564742869
fixed_512_64,0.5690860215053763,0.547423835125448,0.506791998240057,0.35161290322580646,0.5105566028953126,0.3836257143657523
recursive_1024_128,0.5973118279569892,0.5783826164874553,0.5207532970031393,0.3548387096774194,0.5088919145370758,0.38293191891389233
recursive_128_16,0.2545698924731183,0.250918458781362,0.2624673504243879,0.18064516129032257,0.31300097751710654,0.2162646045710562
recursive_256_32,0.46801075268817205,0.4684363799283154,0.41320716609259944,0.28064516129032263,0.43980065633291443,0.3160477594301124
recursive_512_64,0.4978494623655914,0.4895385304659498,0.42928654431210556,0.2838709677419355,0.4346669459572685,0.31874227922615017
sentence_s1,0.18413978494623656,0.17580645161290323,0.1725364929342906,0.11290322580645161,0.19419599217986314,0.1323619928458638
sentence_s10,0.41021505376344086,0.3963037634408602,0.34828171880590314,0.23870967741935484,0.3481974119070893,0.2609495922588902
sentence_s3,0.2970430107526882,0.29469086021505375,0.2485229202282995,0.17096774193548386,0.2582070707070707,0.18974166514489096
sentence_s5,0.335752688172043,0.32612007168458784,0.2889651600272497,0.19677419354838707,0.2993878880975655,0.2185751524461202
