experiment,mrr,map,ndcg_at_k,precision_at_k,recall_at_k,f1_score_at_k
fixed_1024_0,0.6044600938967136,0.5783744131455398,0.5177276834884444,0.34929577464788736,0.539364088571835,0.40217870135020095
fixed_1024_128,0.6235328638497653,0.6097124413145539,0.5688582913153846,0.3859154929577465,0.6014169613641445,0.44729155016023286
fixed_128_0,0.38861502347417837,0.37375293427230044,0.3377875279599291,0.2330985915492958,0.3683484746865029,0.27110000316814736
fixed_128_16,0.4097417840375587,0.3985279733959311,0.35809799639302786,0.2528169014084507,0.38400758083856673,0.29023774140799824
fixed_256_0,0.47975352112676056,0.46732198748043813,0.43616952905771883,0.302112676056338,0.4792881023514826,0.35259501154281603
fixed_256_32,0.4678403755868545,0.45962930359937404,0.43212290624108085,0.3028169014084507,0.47490460439404103,0.35172689779152083
fixed_512_0,0.5259389671361503,0.5138155320813772,0.46208539651496555,0.3147887323943662,0.49726985651281425,0.3666437228885448
fixed_512_64,0.5517605633802817,0.5396517996870109,0.5006596682654894,0.34647887323943666,0.5374860272747597,0.40005434303798015
recursive_1024_128,0.6372652582159624,0.6240121283255086,0.5872418703470716,0.39718309859154927,0.6206826819502876,0.4601837538094788
recursive_128_16,0.3677816901408451,0.3572427621283255,0.3180349864161742,0.2147887323943662,0.3488100319086234,0.25338038330996077
recursive_256_32,0.45082159624413143,0.4376564945226917,0.4096648517322344,0.2936619718309859,0.45306256732313066,0.3388058888317794
recursive_512_64,0.5330985915492958,0.520608372456964,0.49696988646372675,0.34788732394366195,0.544872899010223,0.4035517650213176
sentence_s1,0.1961267605633803,0.19679675273865413,0.18180672520046848,0.12183098591549296,0.209125713879235,0.14681119246674343
sentence_s10,0.46948356807511743,0.45076291079812203,0.4115148776001914,0.28450704225352114,0.4450070371725301,0.3302404323789991
sentence_s3,0.32411971830985914,0.3132824726134585,0.26571986477544013,0.18380281690140846,0.29712060240229254,0.21666786161918722
sentence_s5,0.36109154929577464,0.35605438184663535,0.3183285093263654,0.22042253521126762,0.3621148608824665,0.26074019072154947
