experiment,mrr,map,ndcg_at_k,precision_at_k,recall_at_k,f1_score_at_k
fixed_1024_100,0.47634408602150535,0.4823028673835126,0.5275822754959241,0.3290322580645161,0.49093992924638086,0.3629218267501
fixed_128_12,0.17930107526881722,0.17988351254480286,0.20522273865080995,0.13870967741935483,0.23123574454219614,0.16195108654786075
fixed_256_25,0.31666666666666665,0.3077956989247312,0.34720394862506143,0.19677419354838713,0.3330784806591258,0.23278871665968442
fixed_512_0,0.3975806451612903,0.38853046594982077,0.43672059561151316,0.24838709677419354,0.3739712796164409,0.27310229565922167
fixed_512_128,0.38467741935483873,0.3814068100358423,0.43518511871525084,0.25806451612903225,0.40606235162686777,0.29175683582704454
fixed_512_256,0.3588709677419355,0.35663082437275984,0.4081188297318175,0.25806451612903225,0.4358946608946609,0.3030298238552508
fixed_512_50,0.33198924731182794,0.3288530465949821,0.38702705461301606,0.26129032258064516,0.4111256574966252,0.2971184281668153
fixed_768_75,0.44946236559139785,0.44312275985663085,0.48341827354775685,0.30000000000000004,0.44057452404226594,0.32685524469205685
recursive_1024_100,0.4674731182795699,0.464247311827957,0.5025643825614771,0.31290322580645163,0.5081058278638924,0.3611632543084156
recursive_128_12,0.11881720430107527,0.12168458781362007,0.13647892024815958,0.0967741935483871,0.20161290322580644,0.12703649397197783
recursive_256_25,0.23682795698924733,0.2336021505376344,0.26611700585302356,0.15483870967741936,0.25238851650141975,0.17738363786750885
recursive_512_0,0.35860215053763445,0.3583557347670251,0.3924780605932633,0.2161290322580645,0.35425103570264865,0.2511485826001955
recursive_512_128,0.38091397849462366,0.3757168458781362,0.41651905178674986,0.24193548387096775,0.40260031187450546,0.2831161801512845
recursive_512_256,0.38924731182795697,0.3736111111111111,0.42438846558787113,0.24838709677419354,0.40749604338314016,0.2887945072005793
recursive_512_50,0.3629032258064516,0.36603942652329746,0.40332418792328356,0.2161290322580645,0.36469010380300704,0.25386038692490304
recursive_768_75,0.4002688172043011,0.39572132616487454,0.44771092348934755,0.2806451612903226,0.45285574640413345,0.32270584675708014
semantic_t0.5_miniLM,0.24354838709677418,0.2445116487455197,0.27720404601407533,0.14193548387096774,0.21984359726295208,0.15778289810547877
semantic_t0.6_miniLM,0.19946236559139785,0.19267473118279568,0.21203727714609275,0.11290322580645161,0.15463506028022156,0.11737071172555044
semantic_t0.75_bge_base,0.2478494623655914,0.24182347670250895,0.26880287121257623,0.12903225806451613,0.16779488432714237,0.13174115311212087
semantic_t0.75_miniLM,0.2478494623655914,0.24182347670250895,0.26880287121257623,0.12903225806451613,0.16779488432714237,0.13174115311212087
semantic_t0.7_bge_base,0.2303763440860215,0.23254928315412188,0.2560360221495078,0.12580645161290321,0.16403144346692736,0.12802658810723327
semantic_t0.7_bge_small,0.2303763440860215,0.23254928315412188,0.2560360221495078,0.12580645161290321,0.16403144346692736,0.12802658810723327
semantic_t0.7_miniLM,0.2303763440860215,0.23254928315412188,0.2560360221495078,0.12580645161290321,0.16403144346692736,0.12802658810723327
semantic_t0.7_mpnet,0.2303763440860215,0.23254928315412188,0.2560360221495078,0.12580645161290321,0.16403144346692736,0.12802658810723327
semantic_t0.85_bge_base,0.22311827956989247,0.2152105734767025,0.23722755145462734,0.11612903225806452,0.1721407624633431,0.12676476749057394
semantic_t0.85_bge_small,0.22311827956989247,0.2152105734767025,0.23722755145462734,0.11612903225806452,0.1721407624633431,0.12676476749057394
semantic_t0.85_miniLM,0.22311827956989247,0.2152105734767025,0.23722755145462734,0.11612903225806452,0.1721407624633431,0.12676476749057394
semantic_t0.85_mpnet,0.22311827956989247,0.2152105734767025,0.23722755145462734,0.11612903225806452,0.1721407624633431,0.12676476749057394
semantic_t0.8_bge_base,0.24731182795698925,0.23940412186379928,0.25930932962282965,0.11935483870967742,0.17375366568914957,0.12891530512498253
semantic_t0.8_bge_small,0.24731182795698925,0.23940412186379928,0.25930932962282965,0.11935483870967742,0.17375366568914957,0.12891530512498253
semantic_t0.8_miniLM,0.24731182795698925,0.23940412186379928,0.25930932962282965,0.11935483870967742,0.17375366568914957,0.12891530512498253
semantic_t0.8_mpnet,0.24731182795698925,0.23940412186379928,0.25930932962282965,0.11935483870967742,0.17375366568914957,0.12891530512498253
semantic_t0.95_miniLM,0.1827956989247312,0.17647849462365592,0.2037420957961444,0.10967741935483871,0.18200961225154774,0.1262560020624537
semantic_t0.9_bge_base,0.22311827956989247,0.21769713261648746,0.2425884258491938,0.12258064516129033,0.1924364613880743,0.13691268409010346
semantic_t0.9_miniLM,0.22311827956989247,0.21769713261648746,0.2425884258491938,0.12258064516129033,0.1924364613880743,0.13691268409010346
sentence_s1,0.1881720430107527,0.17983870967741936,0.2024590224284398,0.11612903225806452,0.19688416422287391,0.1352945441655119
sentence_s10,0.4330645161290323,0.4171370967741936,0.45627988651641405,0.25806451612903225,0.38583182050923986,0.28524787462168866
sentence_s2,0.32661290322580644,0.32661290322580644,0.3520946713817195,0.19677419354838713,0.28032746823069404,0.21141018479728158
sentence_s3,0.3163978494623656,0.31223118279569895,0.346651094005616,0.1870967741935484,0.2931533072662105,0.21110739618804136
sentence_s5,0.3518817204301075,0.3452732974910394,0.3834949559003967,0.2161290322580645,0.3429362751943397,0.24484243355211097
sentence_s7,0.43010752688172044,0.420318100358423,0.45365146787879823,0.26129032258064516,0.38793173672205933,0.28764999758832777
