experiment,mrr,map,ndcg_at_k,precision_at_k,recall_at_k,f1_score_at_k
fixed_1024_100,0.5612696586114307,0.5435647615394451,0.5968035959666544,0.4005523590333717,0.6639832520978954,0.4722407971019047
fixed_128_12,0.2294553126198696,0.22659922004858712,0.2619324630138741,0.14609896432681244,0.2487232596034749,0.1746134597061179
fixed_256_25,0.3758764863828155,0.365550121467843,0.41494800907973317,0.24322209436133485,0.40648267103369035,0.2874192128560154
fixed_512_0,0.4701611047180667,0.45437316199974426,0.5076106029602414,0.31958573072497126,0.5298976621454343,0.37642583314333267
fixed_512_128,0.4709090909090909,0.4549459787750927,0.5079581473664456,0.3249712313003452,0.5357888317769679,0.38171153917840334
fixed_512_256,0.478024549290372,0.46383390870732644,0.5144119912611332,0.34600690448791716,0.5746099389630848,0.40755219865042086
fixed_512_50,0.4660951285001918,0.4515084388185654,0.5041299683946686,0.3194476409666283,0.5278902685672698,0.3753615821543394
fixed_768_75,0.5155427694668201,0.5000754379235391,0.552280290947615,0.36289988492520137,0.5965181875631252,0.42623430646967075
recursive_1024_100,0.534836977368623,0.5194668200997316,0.5702779854254695,0.3753279631760644,0.6223241014214016,0.44237475207025073
recursive_128_12,0.21245492903720753,0.210084388185654,0.24150525420392643,0.13712313003452245,0.23312275964802429,0.16393074878047803
recursive_256_25,0.33709244342155736,0.33215157908195886,0.37541069024577073,0.21532796317606445,0.36129373690878486,0.2556251156879363
recursive_512_0,0.43481779823551975,0.42365905894386907,0.47255874561489297,0.28800920598388957,0.4754294544503939,0.3387150760632031
recursive_512_128,0.44637130801687763,0.43420502493287305,0.48307344332416624,0.3049482163406214,0.5029321970624808,0.35817949804263977
recursive_512_256,0.4533716915995397,0.4435532540595832,0.4912097344099178,0.31889528193325667,0.5319881313400212,0.3763136754290128
recursive_512_50,0.4432489451476793,0.4314844649021864,0.48022516703281093,0.29486766398158804,0.4869363649246184,0.3464630266142185
recursive_768_75,0.48928270042194094,0.47644642628819844,0.5282122320366134,0.34333716915995394,0.5675831173738503,0.40411097678062863
semantic_t0.5_miniLM,0.3070655926352129,0.3037904360056259,0.3434708917643952,0.19990794016110472,0.33214031162277785,0.235976284994194
semantic_t0.6_miniLM,0.2857805907172996,0.2821876997826365,0.3209933910832362,0.18545454545454548,0.3060605462277075,0.21841549769562776
semantic_t0.75_bge_base,0.25254315304948216,0.24766110471806677,0.28296039728695743,0.15728423475258918,0.256867201308376,0.18433710167940034
semantic_t0.75_miniLM,0.25254315304948216,0.24766110471806677,0.28296039728695743,0.15728423475258918,0.256867201308376,0.18433710167940034
semantic_t0.7_bge_base,0.2626543920214806,0.25902921621276054,0.2959407984111502,0.16455696202531644,0.27030577006153894,0.1934404789711654
semantic_t0.7_bge_small,0.2626543920214806,0.25902921621276054,0.2959407984111502,0.16455696202531644,0.27030577006153894,0.1934404789711654
semantic_t0.7_miniLM,0.2626543920214806,0.25902921621276054,0.2959407984111502,0.16455696202531644,0.27030577006153894,0.1934404789711654
semantic_t0.7_mpnet,0.2626543920214806,0.25902921621276054,0.2959407984111502,0.16455696202531644,0.27030577006153894,0.1934404789711654
semantic_t0.85_bge_base,0.2317453011123897,0.2292548906789413,0.26189502359714234,0.14577675489067893,0.23773463109122583,0.1707329149736806
semantic_t0.85_bge_small,0.2317453011123897,0.2292548906789413,0.26189502359714234,0.14577675489067893,0.23773463109122583,0.1707329149736806
semantic_t0.85_miniLM,0.2317453011123897,0.2292548906789413,0.26189502359714234,0.14577675489067893,0.23773463109122583,0.1707329149736806
semantic_t0.85_mpnet,0.2317453011123897,0.2292548906789413,0.26189502359714234,0.14577675489067893,0.23773463109122583,0.1707329149736806
semantic_t0.8_bge_base,0.23766014576141156,0.23411232578954097,0.26785041053363207,0.14996547756041428,0.24598059143442438,0.1760895844954522
semantic_t0.8_bge_small,0.23766014576141156,0.23411232578954097,0.26785041053363207,0.14996547756041428,0.24598059143442438,0.1760895844954522
semantic_t0.8_miniLM,0.23766014576141156,0.23411232578954097,0.26785041053363207,0.14996547756041428,0.24598059143442438,0.1760895844954522
semantic_t0.8_mpnet,0.23766014576141156,0.23411232578954097,0.26785041053363207,0.14996547756041428,0.24598059143442438,0.1760895844954522
semantic_t0.95_miniLM,0.21880322209436134,0.2171049098580744,0.247948748176048,0.1367548906789413,0.22439148401965525,0.1606521845833956
semantic_t0.9_bge_base,0.2250517836593786,0.2227937603886971,0.2546085168551576,0.14025316455696202,0.2307754577367705,0.16491025748730534
semantic_t0.9_miniLM,0.2250517836593786,0.2227937603886971,0.2546085168551576,0.14025316455696202,0.2307754577367705,0.16491025748730534
sentence_s1,0.22538166474875335,0.2232962536760005,0.2531973763948646,0.13960874568469506,0.23067440452582086,0.1644850147922461
sentence_s10,0.49835059455312625,0.48236191024165714,0.5335480519906421,0.3346835443037975,0.555835166027232,0.39477475254328354
sentence_s2,0.3293862677406981,0.32287463239994885,0.36618888362608426,0.20985040276179517,0.3483491797769534,0.2475992537529546
sentence_s3,0.36777138473341003,0.35731236414780715,0.40275658461979674,0.23544303797468355,0.39232584006576926,0.2782380889591226
sentence_s5,0.4207441503644035,0.40854238588415803,0.4562097483223956,0.27433831990794016,0.45432390801703765,0.3232497954700894
sentence_s7,0.4549482163406214,0.4405491625111878,0.4907130850911388,0.3048101265822785,0.5026965705061552,0.35847918551500724
