experiment,mrr,map,ndcg_at_k,precision_at_k,recall_at_k,f1_score_at_k
fixed_1024_100,0.4961267605633803,0.4788536776212832,0.5409924026761541,0.3267605633802817,0.5169853718269211,0.3801040370841531
fixed_128_12,0.2163732394366197,0.20940923317683882,0.23915129300713986,0.11267605633802817,0.18522574842997377,0.13452507977155864
fixed_256_25,0.34137323943661974,0.3327611502347418,0.38291686608554165,0.19929577464788734,0.3254699916671748,0.2357635713269516
fixed_512_0,0.43133802816901406,0.41465179968701094,0.47023157951783234,0.271830985915493,0.4307366928845802,0.3173026268355597
fixed_512_128,0.4517018779342723,0.42760661189358373,0.47937851438708123,0.2795774647887324,0.44376918074101174,0.32592230332495453
fixed_512_256,0.44272300469483566,0.4226574726134585,0.47217669378373817,0.3042253521126761,0.47592613763388414,0.35296435073257776
fixed_512_50,0.4158450704225352,0.39621478873239435,0.44808333902949543,0.25704225352112675,0.4138606893888584,0.3014735615346635
fixed_768_75,0.4631455399061033,0.44932022691705786,0.4993514866017346,0.2943661971830986,0.4670925807369469,0.3436007418660691
recursive_1024_100,0.5073356807511737,0.4905467527386541,0.5406363485483198,0.30985915492957744,0.48018794585695995,0.3577946954086142
recursive_128_12,0.20821596244131454,0.20371185446009388,0.2324666180300468,0.12112676056338027,0.21135703107534093,0.14800215434018252
recursive_256_25,0.29395539906103285,0.28826780125195617,0.3298567376354173,0.17887323943661973,0.30473459443529866,0.21500208516053587
recursive_512_0,0.4050469483568075,0.3938673708920188,0.4425618567009632,0.24647887323943662,0.4031518657398939,0.29104254509184085
recursive_512_128,0.39043427230046945,0.37617370892018775,0.4253863843812291,0.2535211267605634,0.40760078145641526,0.2972098519633731
recursive_512_256,0.4158450704225352,0.4036580594679186,0.4502718208041966,0.2661971830985915,0.42443677214803976,0.3105383788171692
recursive_512_50,0.4082746478873239,0.39673806729264477,0.4441628304500725,0.25563380281690146,0.41533049305936626,0.3012738826119108
recursive_768_75,0.46296948356807505,0.4499021909233177,0.4986524913212228,0.2992957746478873,0.46982577281873056,0.3477077557442098
semantic_t0.5_miniLM,0.2727699530516432,0.26853971048513303,0.3102391812377922,0.17323943661971833,0.2821391734243847,0.20389353696105975
semantic_t0.6_miniLM,0.2357981220657277,0.2291519953051643,0.26808208556452795,0.14929577464788732,0.24421999166717476,0.17639750013403702
semantic_t0.75_bge_base,0.24665492957746477,0.24008215962441315,0.2710972627536931,0.13450704225352114,0.21563154177590796,0.15801803140245557
semantic_t0.75_miniLM,0.24665492957746477,0.24008215962441315,0.2710972627536931,0.13450704225352114,0.21563154177590796,0.15801803140245557
semantic_t0.7_bge_base,0.25152582159624415,0.2465913536776213,0.28030447627175853,0.1443661971830986,0.23406715545800053,0.17008843361370288
semantic_t0.7_bge_small,0.25152582159624415,0.2465913536776213,0.28030447627175853,0.1443661971830986,0.23406715545800053,0.17008843361370288
semantic_t0.7_miniLM,0.25152582159624415,0.2465913536776213,0.28030447627175853,0.1443661971830986,0.23406715545800053,0.17008843361370288
semantic_t0.7_mpnet,0.25152582159624415,0.2465913536776213,0.28030447627175853,0.1443661971830986,0.23406715545800053,0.17008843361370288
semantic_t0.85_bge_base,0.21396713615023474,0.21300371674491395,0.24175774665643746,0.12253521126760565,0.1977576316484767,0.14402269575219037
semantic_t0.85_bge_small,0.21396713615023474,0.21300371674491395,0.24175774665643746,0.12253521126760565,0.1977576316484767,0.14402269575219037
semantic_t0.85_miniLM,0.21396713615023474,0.21300371674491395,0.24175774665643746,0.12253521126760565,0.1977576316484767,0.14402269575219037
semantic_t0.85_mpnet,0.21396713615023474,0.21300371674491395,0.24175774665643746,0.12253521126760565,0.1977576316484767,0.14402269575219037
semantic_t0.8_bge_base,0.23233568075117372,0.2262470657276995,0.25911897422335645,0.13239436619718312,0.21340149482755116,0.15570973719275294
semantic_t0.8_bge_small,0.23233568075117372,0.2262470657276995,0.25911897422335645,0.13239436619718312,0.21340149482755116,0.15570973719275294
semantic_t0.8_miniLM,0.23233568075117372,0.2262470657276995,0.25911897422335645,0.13239436619718312,0.21340149482755116,0.15570973719275294
semantic_t0.8_mpnet,0.23233568075117372,0.2262470657276995,0.25911897422335645,0.13239436619718312,0.21340149482755116,0.15570973719275294
semantic_t0.95_miniLM,0.20487089201877934,0.20376564945226916,0.23026444890038078,0.11971830985915492,0.20018037518037518,0.14224145377314393
semantic_t0.9_bge_base,0.2098004694835681,0.20824530516431924,0.23773821432843528,0.12253521126760565,0.2017719956100238,0.14464031664735888
semantic_t0.9_miniLM,0.2098004694835681,0.20824530516431924,0.23773821432843528,0.12253521126760565,0.2017719956100238,0.14464031664735888
sentence_s1,0.20199530516431924,0.20288047730829423,0.23034101567086376,0.12816901408450704,0.21851538524073735,0.15434249137128178
sentence_s10,0.4761150234741784,0.45919894366197184,0.5079885689829972,0.2992957746478873,0.46821065280572327,0.3470635935683574
sentence_s2,0.32300469483568073,0.3160798122065728,0.36046498194904414,0.1943661971830986,0.31224086945917934,0.22731250844341153
sentence_s3,0.33509389671361506,0.3254499217527386,0.3683568190759106,0.19647887323943664,0.32147506249618923,0.2330299228756147
sentence_s5,0.38198356807511735,0.37594385758998433,0.422967739001252,0.23661971830985917,0.39195526695526695,0.28099225868488503
sentence_s7,0.40017605633802816,0.3875782472613459,0.4364371762998849,0.23591549295774647,0.37428561266589433,0.2743647186377095
