experiment,mrr,map,ndcg_at_k,precision_at_k,recall_at_k,f1_score_at_k
fixed_1024_100,0.5,0.5,0.5,0.1,0.5,0.16666666666666669
fixed_128_12,0.0,0.0,0.0,0.0,0.0,0.0
fixed_256_25,0.0,0.0,0.0,0.0,0.0,0.0
fixed_512_0,0.0,0.0,0.0,0.0,0.0,0.0
fixed_512_128,0.5,0.5,0.5,0.1,0.5,0.16666666666666669
fixed_512_256,0.0,0.0,0.0,0.0,0.0,0.0
fixed_512_50,0.0,0.0,0.0,0.0,0.0,0.0
fixed_768_75,0.125,0.125,0.21533827903669653,0.1,0.5,0.16666666666666669
recursive_1024_100,0.25,0.25,0.31546487678572877,0.1,0.5,0.16666666666666669
recursive_128_12,0.0,0.0,0.0,0.0,0.0,0.0
recursive_256_25,0.0,0.0,0.0,0.0,0.0,0.0
recursive_512_0,0.25,0.25,0.31546487678572877,0.1,0.5,0.16666666666666669
recursive_512_128,0.125,0.125,0.21533827903669653,0.1,0.5,0.16666666666666669
recursive_512_256,0.16666666666666666,0.16666666666666666,0.25,0.1,0.5,0.16666666666666669
recursive_512_50,0.16666666666666666,0.16666666666666666,0.25,0.1,0.5,0.16666666666666669
recursive_768_75,0.16666666666666666,0.16666666666666666,0.25,0.1,0.5,0.16666666666666669
semantic_t0.5_miniLM,0.0,0.0,0.0,0.0,0.0,0.0
semantic_t0.6_miniLM,0.0,0.0,0.0,0.0,0.0,0.0
semantic_t0.75_bge_base,0.0,0.0,0.0,0.0,0.0,0.0
semantic_t0.75_miniLM,0.0,0.0,0.0,0.0,0.0,0.0
semantic_t0.7_bge_base,0.0,0.0,0.0,0.0,0.0,0.0
semantic_t0.7_bge_small,0.0,0.0,0.0,0.0,0.0,0.0
semantic_t0.7_miniLM,0.0,0.0,0.0,0.0,0.0,0.0
semantic_t0.7_mpnet,0.0,0.0,0.0,0.0,0.0,0.0
semantic_t0.85_bge_base,0.0,0.0,0.0,0.0,0.0,0.0
semantic_t0.85_bge_small,0.0,0.0,0.0,0.0,0.0,0.0
semantic_t0.85_miniLM,0.0,0.0,0.0,0.0,0.0,0.0
semantic_t0.85_mpnet,0.0,0.0,0.0,0.0,0.0,0.0
semantic_t0.8_bge_base,0.0,0.0,0.0,0.0,0.0,0.0
semantic_t0.8_bge_small,0.0,0.0,0.0,0.0,0.0,0.0
semantic_t0.8_miniLM,0.0,0.0,0.0,0.0,0.0,0.0
semantic_t0.8_mpnet,0.0,0.0,0.0,0.0,0.0,0.0
semantic_t0.95_miniLM,0.0,0.0,0.0,0.0,0.0,0.0
semantic_t0.9_bge_base,0.0,0.0,0.0,0.0,0.0,0.0
semantic_t0.9_miniLM,0.0,0.0,0.0,0.0,0.0,0.0
sentence_s1,0.0,0.0,0.0,0.0,0.0,0.0
sentence_s10,0.0,0.0,0.0,0.0,0.0,0.0
sentence_s2,0.0,0.0,0.0,0.0,0.0,0.0
sentence_s3,0.0,0.0,0.0,0.0,0.0,0.0
sentence_s5,0.0,0.0,0.0,0.0,0.0,0.0
sentence_s7,0.0,0.0,0.0,0.0,0.0,0.0
